name_1,name_2,effective_utilization,fidelity,depth_avg,depth_diff,depth_max,depth_ratio,depth_sum,m1_critical_depth,m1_depth,m1_entanglement_ratio,m1_liveness,m1_measurement,m1_num_clbits,m1_num_cnot_gates,m1_num_connected_components,m1_num_measurements,m1_num_nonlocal_gates,m1_num_qubits,m1_number_instructions,m1_parallelism,m1_program_communication,m2_critical_depth,m2_depth,m2_entanglement_ratio,m2_liveness,m2_measurement,m2_num_clbits,m2_num_cnot_gates,m2_num_connected_components,m2_num_measurements,m2_num_nonlocal_gates,m2_num_qubits,m2_number_instructions,m2_parallelism,m2_program_communication,num_cnot_gates_avg,num_cnot_gates_diff,num_cnot_gates_max,num_cnot_gates_ratio,num_cnot_gates_sum,num_measurements_avg,num_measurements_diff,num_measurements_max,num_measurements_ratio,num_measurements_sum,num_nonlocal_gates_avg,num_nonlocal_gates_diff,num_nonlocal_gates_max,num_nonlocal_gates_ratio,num_nonlocal_gates_sum,num_qubits_avg,num_qubits_diff,num_qubits_max,num_qubits_ratio,num_qubits_sum,number_instructions_avg,number_instructions_diff,number_instructions_max,number_instructions_ratio,number_instructions_sum,pair_index,pareto_rank,topk_orig,topk_new
GHZ-12,W-STATE-4,0.547008547008547,0.7917206106747099,11.0,4.0,13.0,0.6923076923076923,22.0,1.0,13.0,0.9166666666666666,0.2243589743589743,0.0,12.0,11.0,1.0,12.0,11.0,12.0,24.0,0.0,0.1666666666666666,0.6666666666666666,9.0,0.5,0.6111111111111112,0.0,4.0,3.0,1.0,4.0,6.0,4.0,16.0,0.25,0.5,7.0,8.0,11.0,0.2727272727272727,14.0,8.0,8.0,12.0,0.3333333333333333,16.0,8.5,5.0,11.0,0.5454545454545454,17.0,8.0,8.0,12.0,0.3333333333333333,16.0,20.0,8.0,24.0,0.6666666666666666,40.0,0,12,True,False
BV-4,BV-12,0.5432098765432098,0.8469985358711566,7.5,3.0,9.0,0.6666666666666666,15.0,1.0,6.0,0.2,0.625,0.0,4.0,2.0,3.0,3.0,2.0,4.0,13.0,0.4,0.3333333333333333,1.0,9.0,0.1724137931034483,0.4166666666666667,0.0,12.0,5.0,8.0,11.0,5.0,12.0,40.0,0.6896551724137931,0.0757575757575757,3.5,3.0,5.0,0.4,7.0,7.0,8.0,11.0,0.2727272727272727,14.0,3.5,3.0,5.0,0.4,7.0,8.0,8.0,12.0,0.3333333333333333,16.0,26.5,27.0,40.0,0.325,53.0,1,9,True,True
BV-12,QAOA-R3-4,0.3386243386243386,0.876487368749773,15.0,12.0,21.0,0.4285714285714285,30.0,1.0,9.0,0.1724137931034483,0.4166666666666667,0.0,12.0,5.0,8.0,11.0,5.0,12.0,40.0,0.6896551724137931,0.0757575757575757,1.0,21.0,0.4615384615384615,0.5,0.0,4.0,12.0,1.0,4.0,12.0,4.0,30.0,0.1923076923076923,1.0,8.5,7.0,12.0,0.4166666666666667,17.0,7.5,7.0,11.0,0.3636363636363636,15.0,8.5,7.0,12.0,0.4166666666666667,17.0,8.0,8.0,12.0,0.3333333333333333,16.0,35.0,10.0,40.0,0.75,70.0,2,19,False,False
QAOA-P1-6,W-STATE-10,0.5608465608465609,0.7967615396979288,19.5,3.0,21.0,0.8571428571428571,39.0,1.0,18.0,0.3703703703703703,0.3981481481481481,0.0,6.0,10.0,1.0,6.0,10.0,6.0,33.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,21.0,0.5,0.3047619047619048,0.0,10.0,9.0,1.0,10.0,18.0,10.0,46.0,0.4166666666666666,0.2,9.5,1.0,10.0,0.9,19.0,8.0,4.0,10.0,0.6,16.0,14.0,8.0,18.0,0.5555555555555556,28.0,8.0,4.0,10.0,0.6,16.0,39.5,13.0,46.0,0.717391304347826,79.0,3,10,False,False
HS-1-4,VQE-1-12,0.5185185185185185,0.8313810053903811,10.5,7.0,14.0,0.5,21.0,1.0,7.0,0.2,0.7857142857142857,0.0,4.0,,1.0,4.0,3.0,4.0,19.0,0.5333333333333333,0.5,1.0,14.0,0.3142857142857143,0.3452380952380952,0.0,12.0,11.0,1.0,12.0,11.0,12.0,47.0,0.6,0.1666666666666666,5.5,11.0,11.0,0.0,11.0,8.0,8.0,12.0,0.3333333333333333,16.0,7.0,8.0,11.0,0.2727272727272727,14.0,8.0,8.0,12.0,0.3333333333333333,16.0,33.0,28.0,47.0,0.4042553191489361,66.0,4,16,False,False
HS-1-12,QAOA-R3-4,0.4656084656084656,0.9291944863396076,18.0,6.0,21.0,0.7142857142857143,36.0,1.0,15.0,0.2340425531914893,0.3888888888888889,0.0,12.0,,1.0,12.0,11.0,12.0,59.0,0.6808510638297872,0.1666666666666666,1.0,21.0,0.4615384615384615,0.5,0.0,4.0,12.0,1.0,4.0,12.0,4.0,30.0,0.1923076923076923,1.0,6.0,12.0,12.0,0.0,12.0,8.0,8.0,12.0,0.3333333333333333,16.0,11.5,1.0,12.0,0.9166666666666666,23.0,8.0,8.0,12.0,0.3333333333333333,16.0,44.5,29.0,59.0,0.5084745762711864,89.0,5,9,False,False
GHZ-4,GHZ-12,0.5014245014245015,0.7947123114789257,9.0,8.0,13.0,0.3846153846153846,18.0,1.0,5.0,0.75,0.55,0.0,4.0,3.0,1.0,4.0,3.0,4.0,8.0,0.0,0.5,1.0,13.0,0.9166666666666666,0.2243589743589743,0.0,12.0,11.0,1.0,12.0,11.0,12.0,24.0,0.0,0.1666666666666666,7.0,8.0,11.0,0.2727272727272727,14.0,8.0,8.0,12.0,0.3333333333333333,16.0,7.0,8.0,11.0,0.2727272727272727,14.0,8.0,8.0,12.0,0.3333333333333333,16.0,16.0,16.0,24.0,0.3333333333333333,32.0,6,21,True,False
HS-1-10,QAOA-R3-6,0.4514991181657848,0.9511194135532244,17.0,8.0,21.0,0.6190476190476191,34.0,1.0,13.0,0.2307692307692307,0.4461538461538462,0.0,10.0,,1.0,10.0,9.0,10.0,49.0,0.6666666666666667,0.2,0.6666666666666666,21.0,0.4615384615384615,0.5,0.0,6.0,18.0,1.0,6.0,18.0,6.0,45.0,0.4615384615384615,0.6,9.0,18.0,18.0,0.0,18.0,8.0,4.0,10.0,0.6,16.0,13.5,9.0,18.0,0.5,27.0,8.0,4.0,10.0,0.6,16.0,47.0,4.0,49.0,0.9183673469387756,94.0,7,6,False,False
HS-1-12,TL-1-4,0.5135802469135803,0.92895338601486,11.0,8.0,15.0,0.4666666666666667,22.0,1.0,15.0,0.2340425531914893,0.3888888888888889,0.0,12.0,,1.0,12.0,11.0,12.0,59.0,0.6808510638297872,0.1666666666666666,1.0,7.0,0.3333333333333333,0.7142857142857143,0.0,4.0,,1.0,4.0,4.0,4.0,16.0,0.4166666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,8.0,8.0,12.0,0.3333333333333333,16.0,7.5,7.0,11.0,0.3636363636363636,15.0,8.0,8.0,12.0,0.3333333333333333,16.0,37.5,43.0,59.0,0.2711864406779661,75.0,8,8,False,False
BV-4,VQE-1-12,0.5079365079365079,0.8006954612005857,10.0,8.0,14.0,0.4285714285714285,20.0,1.0,6.0,0.2,0.625,0.0,4.0,2.0,3.0,3.0,2.0,4.0,13.0,0.4,0.3333333333333333,1.0,14.0,0.3142857142857143,0.3452380952380952,0.0,12.0,11.0,1.0,12.0,11.0,12.0,47.0,0.6,0.1666666666666666,6.5,9.0,11.0,0.1818181818181818,13.0,7.5,9.0,12.0,0.25,15.0,6.5,9.0,11.0,0.1818181818181818,13.0,8.0,8.0,12.0,0.3333333333333333,16.0,30.0,34.0,47.0,0.2765957446808511,60.0,9,20,True,True
