row_index,pair_index,name_1,name_2,effective_utilization,fidelity,util_source,fidelity_source,backend,shots,csv_effective_utilization,csv_fidelity,job_id,json_file,utilization_file,pareto_rank,topk_orig,topk_new
0,0,BV-4,HS-1-4,0.05585392051557465,0.6821500004892418,utilization_file,hellinger_mean,ibm_torino,1000,0.2751322751322751,0.9669733605712804,d63s1lrc4tus73ff09g0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00000_BV-4__HS-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_resume_demo_00000_BV-4__HS-1-4_utilization.json,6,True,True
1,1,BV-4,TL-1-4,0.05585392051557465,0.6925305654075751,utilization_file,hellinger_mean,ibm_torino,1000,0.2751322751322751,0.96624557892355,d63s24jtraac73bhllig,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00001_BV-4__TL-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_resume_demo_00001_BV-4__TL-1-4_utilization.json,5,True,True
2,2,QAOA-R3-4,TL-1-4,0.040100250626566414,0.9917114090702607,utilization_file,hellinger_mean,ibm_torino,1000,0.1975308641975308,0.989826966030489,d63s29btraac73bhllp0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00002_QAOA-R3-4__TL-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_resume_demo_00002_QAOA-R3-4__TL-1-4_utilization.json,1,False,False
3,3,QAOA-P1-4,TL-1-4,0.047619047619047616,0.9903572631381097,utilization_file,hellinger_mean,ibm_torino,1000,0.2345679012345679,0.9797236817736747,d63s35rc4tus73ff0bc0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00003_QAOA-P1-4__TL-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00003_QAOA-P1-4__TL-1-4_utilization.json,2,True,True
4,4,QSVM-4,W-STATE-4,0.05468215994531784,0.9572136806336207,utilization_file,hellinger_mean,ibm_torino,1000,0.2693602693602693,0.9461424748017596,d63s39rtraac73bhlmvg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00004_QSVM-4__W-STATE-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00004_QSVM-4__W-STATE-4_utilization.json,3,False,True
5,5,GHZ-4,VQE-1-4,0.055137844611528826,0.8665409386149423,utilization_file,hellinger_mean,ibm_torino,1000,0.2716049382716049,0.9079923754492408,d63s3dns6ggc73fia880,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00005_GHZ-4__VQE-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00005_GHZ-4__VQE-1-4_utilization.json,5,False,True
6,6,QSVM-4,TL-1-4,0.04921394395078606,0.9909096885522904,utilization_file,hellinger_mean,ibm_torino,1000,0.2424242424242423,0.9903547930925916,d63s3hjc4tus73ff0br0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00006_QSVM-4__TL-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00006_QSVM-4__TL-1-4_utilization.json,1,False,True
7,7,HS-1-4,W-STATE-4,0.053467000835421885,0.9630840460590404,utilization_file,hellinger_mean,ibm_torino,1000,0.2633744855967078,0.9382333126004077,d63s3ljtraac73bhlnfg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00007_HS-1-4__W-STATE-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00007_HS-1-4__W-STATE-4_utilization.json,4,False,True
8,8,HS-1-4,QSVM-4,0.04921394395078606,0.9805033443369642,utilization_file,hellinger_mean,ibm_torino,1000,0.2424242424242423,0.9852383440044676,d63s3qrc4tus73ff0c6g,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00008_HS-1-4__QSVM-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00008_HS-1-4__QSVM-4_utilization.json,3,True,True
9,9,QAOA-P1-4,QSVM-4,0.05764411027568922,0.9857424688243916,utilization_file,hellinger_mean,ibm_torino,1000,0.2839506172839506,0.991425842051163,d63s403c4tus73ff0cdg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00009_QAOA-P1-4__QSVM-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00009_QAOA-P1-4__QSVM-4_utilization.json,2,True,True
