row_index,pair_index,name_1,name_2,effective_utilization,fidelity,util_source,fidelity_source,backend,shots,csv_effective_utilization,csv_fidelity,job_id,json_file,utilization_file
0,0,GHZ-16,QSVM-8,0.16778789077958053,0.6732953881059613,utilization_file,hellinger_mean,ibm_torino,8192,0.8265107212475633,0.6912231291149447,d652se7s6ggc73fjqki0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88_ibm_torino_shots8192/fidelity/pair_00000_GHZ-16__QSVM-8.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_ibm_torino_shots8192_00000_GHZ-16__QSVM-8_utilization.json
1,1,GHZ-10,TL-1-14,0.1539141972578505,0.7320901984895933,utilization_file,hellinger_mean,ibm_torino,8192,0.7581699346405228,0.5842374924924476,d652t0jc4tus73fghumg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88_ibm_torino_shots8192/fidelity/pair_00001_GHZ-10__TL-1-14.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_ibm_torino_shots8192_00001_GHZ-10__TL-1-14_utilization.json
2,2,BV-6,HS-1-18,0.15252416756176154,0.3105340318872395,utilization_file,hellinger_mean,ibm_torino,8192,0.7513227513227513,0.526045088976574,d652t8jc4tus73fghv10,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88_ibm_torino_shots8192/fidelity/pair_00002_BV-6__HS-1-18.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_ibm_torino_shots8192_00002_BV-6__HS-1-18_utilization.json
3,3,GHZ-14,VQE-1-10,0.16541353383458646,0.5617955187093711,utilization_file,hellinger_mean,ibm_torino,8192,0.8148148148148147,0.6645447035247728,d652tn2o8gvs73f5721g,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88_ibm_torino_shots8192/fidelity/pair_00003_GHZ-14__VQE-1-10.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_ibm_torino_shots8192_00003_GHZ-14__VQE-1-10_utilization.json
4,4,HS-1-16,VQE-1-8,0.15195884447962008,0.6399733462162323,utilization_file,hellinger_mean,ibm_torino,8192,0.7485380116959064,0.5152231460349556,d652u02o8gvs73f572eg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88_ibm_torino_shots8192/fidelity/pair_00004_HS-1-16__VQE-1-8.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_ibm_torino_shots8192_00004_HS-1-16__VQE-1-8_utilization.json
5,5,QAOA-P1-10,QAOA-P1-14,0.15789473684210523,0.7632667580164867,utilization_file,hellinger_mean,ibm_torino,8192,0.7777777777777777,0.3738491574189122,d652u93c4tus73fgi0d0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88_ibm_torino_shots8192/fidelity/pair_00005_QAOA-P1-10__QAOA-P1-14.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_ibm_torino_shots8192_00005_QAOA-P1-10__QAOA-P1-14_utilization.json
6,6,QSVM-6,W-STATE-18,0.15362731152204837,0.7471245796016008,utilization_file,hellinger_mean,ibm_torino,8192,0.7567567567567566,0.7026445543635302,d652unvs6ggc73fjqns0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88_ibm_torino_shots8192/fidelity/pair_00006_QSVM-6__W-STATE-18.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_ibm_torino_shots8192_00006_QSVM-6__W-STATE-18_utilization.json
7,7,QAOA-R3-12,TL-1-12,0.14035087719298242,0.7914386515829481,utilization_file,hellinger_mean,ibm_torino,8192,0.691358024691358,0.452697434228655,d652uvrtraac73bj5avg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88_ibm_torino_shots8192/fidelity/pair_00007_QAOA-R3-12__TL-1-12.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_ibm_torino_shots8192_00007_QAOA-R3-12__TL-1-12_utilization.json
8,8,TL-1-10,VQE-1-14,0.16635338345864661,0.7629488102131861,utilization_file,hellinger_mean,ibm_torino,8192,0.8194444444444444,0.6815384860060482,d652v7jtraac73bj5b80,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88_ibm_torino_shots8192/fidelity/pair_00008_TL-1-10__VQE-1-14.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_ibm_torino_shots8192_00008_TL-1-10__VQE-1-14_utilization.json
9,9,BV-8,QSVM-16,0.13404940923737915,0.1985336308001256,utilization_file,hellinger_mean,ibm_torino,8192,0.6603174603174602,0.4436762180176286,d652vkns6ggc73fjqou0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88_ibm_torino_shots8192/fidelity/pair_00009_BV-8__QSVM-16.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_ibm_torino_shots8192_00009_BV-8__QSVM-16_utilization.json
10,10,BV-4,HS-1-20,0.15822164105916967,0.3111272726700049,utilization_file,hellinger_mean,ibm_torino,8192,0.7793880837359098,0.5156083783019383,d652vsvs6ggc73fjqpa0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88_ibm_torino_shots8192/fidelity/pair_00010_BV-4__HS-1-20.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_ibm_torino_shots8192_00010_BV-4__HS-1-20_utilization.json
11,11,GHZ-4,QAOA-P1-20,0.15594541910331383,0.40147458744102754,utilization_file,hellinger_mean,ibm_torino,8192,0.7681755829903979,0.46168547440983,d653073traac73bj5ccg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88_ibm_torino_shots8192/fidelity/pair_00011_GHZ-4__QAOA-P1-20.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_ibm_torino_shots8192_00011_GHZ-4__QAOA-P1-20_utilization.json
12,12,BV-6,QAOA-P1-18,0.15037593984962405,0.1303237465596892,utilization_file,hellinger_mean,ibm_torino,8192,0.7407407407407406,0.4389454848480983,d6530mqo8gvs73f575cg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88_ibm_torino_shots8192/fidelity/pair_00012_BV-6__QAOA-P1-18.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_ibm_torino_shots8192_00012_BV-6__QAOA-P1-18_utilization.json
13,13,QAOA-R3-20,VQE-1-4,0.15467239527389903,0.38439571636108105,utilization_file,hellinger_mean,ibm_torino,8192,0.7619047619047619,0.4573222982499982,d6530vns6ggc73fjqqng,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88_ibm_torino_shots8192/fidelity/pair_00013_QAOA-R3-20__VQE-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_ibm_torino_shots8192_00013_QAOA-R3-20__VQE-1-4_utilization.json
14,14,HS-1-12,TL-1-12,0.18045112781954883,0.8158955721549348,utilization_file,hellinger_mean,ibm_torino,8192,0.8888888888888888,0.6408276554512308,d6531ans6ggc73fjqr60,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88_ibm_torino_shots8192/fidelity/pair_00014_HS-1-12__TL-1-12.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_ibm_torino_shots8192_00014_HS-1-12__TL-1-12_utilization.json
